Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,delete
2015,Round 19,Mon,Jul 20th,7:00pm,Manly Warringah,12,North Queensland,30,"G. Sutton, A. Shortall",Brookvale,"7,643",
2015,Round 20,Fri,Jul 24th,7:35pm,Brisbane,34,Gold Coast Titans,0,"A. Devcich, C. Sutton",Suncorp,"27,664",
2015,Round 20,Fri,Jul 24th,7:35pm,Wests Tigers,8,Sydney,33,"J. Maxwell, G. Morris",ANZ,"10,186",
2015,Round 20,Sat,Jul 25th,7:30pm,Melbourne,22,St George Illawarra,4,"M. Cecchin, C. Butler",McClean Park,"14,532",
2015,Round 20,Sat,Jul 25th,7:30pm,South Sydney,52,Newcastle,6,"H. Perenara, A. Shortall",ANZ,"14,603",
2015,Round 20,Sat,Jul 25th,3:00pm,Warriors,12,Manly Warringah,32,"G. Atkins, G. Reynolds",Mt Smart,"15,812",
2015,Round 20,Sun,Jul 26th,4:00pm,Canterbury,16,Cronulla,18,"G. Sutton, D. Munro",Belmore,"19,005",
2015,Round 20,Sun,Jul 26th,2:00pm,Penrith,24,Canberra,34,"B. Cummins, C. James",Pepper Stadium,"8,048",
2015,Round 20,Mon,Jul 27th,7:00pm,North Queensland,46,Parramatta,4,"G. Badger, A. Klein",1300SMILES,"13,767",
2015,Round 21,Fri,Jul 31st,7:45pm,Sydney,38,Canterbury,28,"M. Cecchin, A. Klein",Allianz,"13,589",
2015,Round 21,Fri,Jul 31st,7:45pm,Wests Tigers,34,Melbourne,16,"A. Devcich, C. Sutton",Leichhardt,"7,419",
2015,Round 21,Sat,Aug 1st,7:30pm,Manly Warringah,44,Brisbane,14,"G. Badger, C. James",Central Coast,"16,280",
2015,Round 21,Sat,Aug 1st,5:30pm,North Queensland,32,Canberra,24,"G. Sutton, D. Munro",1300SMILES,"16,207",
2015,Round 21,Sat,Aug 1st,5:00pm,Warriors,14,Cronulla,18,"B. Cummins, G. Morris",Mt Smart,"12,481",
2015,Round 21,Sun,Aug 2nd,2:00pm,St George Illawarra,46,Newcastle,24,"G. Atkins, G. Reynolds",WIN Jubilee,"10,236",
2015,Round 21,Sun,Aug 2nd,4:00pm,South Sydney,20,Penrith,16,"J. Maxwell, M. Cecchin",ANZ,"13,391",
2015,Round 21,Mon,Aug 3rd,7:00pm,Gold Coast Titans,24,Parramatta,14,"H. Perenara, A. Shortall",CBUS,"7,496",
2015,Round 22,Fri,Aug 7th,7:45pm,Brisbane,16,Canterbury,18,"B. Cummins, G. Morris",Suncorp,"34,082",
2015,Round 22,Fri,Aug 7th,7:45pm,Manly Warringah,28,South Sydney,8,"G. Sutton, G. Reynolds",Brookvale,"15,083",
2015,Round 22,Sat,Aug 8th,5:30pm,Cronulla,30,North Queensland,18,"M. Cecchin, D. Munro",Remondis Stadium,"13,878",
2015,Round 22,Sat,Aug 8th,7:00pm,Parramatta,10,Penrith,4,"A. Devcich, M. Noyen",TIO Stadium,"8,340",
2015,Round 22,Sat,Aug 8th,5:00pm,Warriors,0,St George Illawarra,36,"G. Badger, A. Shortall",Mt Smart,"18,317",
2015,Round 22,Sun,Aug 9th,2:00pm,Melbourne,36,Gold Coast Titans,14,"G. Atkins, C. Sutton",AAMI Park,"10,521",
2015,Round 22,Sun,Aug 9th,4:00pm,Newcastle,22,Sydney,38,"A. Klein, C. James",Hunter,"17,718",
2015,Round 22,Mon,Aug 10th,7:00pm,Canberra,18,Wests Tigers,20,"J. Maxwell, H. Perenara",GIO Stadium,"8,704",
2015,Round 23,Thu,Aug 13th,7:45pm,North Queensland,18,South Sydney,31,"B. Cummins, G. Badger",1300SMILES,"16,685",
2015,Round 23,Fri,Aug 14th,7:45pm,Brisbane,32,St George Illawarra,6,"J. Maxwell, G. Morris",Suncorp,"33,480",
2015,Round 23,Sat,Aug 15th,5:30pm,Penrith,24,Warriors,10,"A. Klein, C. James",Pepper Stadium,"6,774",
2015,Round 23,Sat,Aug 15th,7:30pm,Sydney,28,Parramatta,18,"G. Atkins, H. Perenara",Allianz,"11,255",
2015,Round 23,Sat,Aug 15th,3:00pm,Wests Tigers,18,Newcastle,24,"G. Reynolds, C. Sutton",Campbelltown,"10,963",
2015,Round 23,Sun,Aug 16th,2:00pm,Canberra,24,Manly Warringah,26,"M. Cecchin, D. Munro",GIO Stadium,"13,113",
2015,Round 23,Sun,Aug 16th,4:00pm,Canterbury,36,Gold Coast Titans,14,"A. Devcich, A. Shortall",Central Coast,"11,021",
2015,Round 23,Mon,Aug 17th,7:00pm,Cronulla,2,Melbourne,30,"G. Sutton, G. Badger",Remondis Stadium,"10,269",
2015,Round 24,Thu,Aug 20th,7:45pm,St George Illawarra,19,Penrith,12,"A. Klein, A. Shortall",WIN Stadium,"9,145",
2015,Round 24,Fri,Aug 21st,7:45pm,South Sydney,18,Canterbury,32,"J. Maxwell, G. Morris",ANZ,"26,503",
2015,Round 24,Sat,Aug 22nd,3:00pm,Cronulla,40,Wests Tigers,18,"G. Atkins, M. Noyen",Remondis Stadium,"15,738",
2015,Round 24,Sat,Aug 22nd,7:45pm,Sydney,12,Brisbane,10,"G. Sutton, G. Badger",Allianz,"19,137",
2015,Round 24,Sat,Aug 22nd,7:30pm,Warriors,16,North Queensland,50,"M. Cecchin, A. Devcich",Mt Smart,"14,412",
2015,Round 24,Sun,Aug 23rd,2:00pm,Gold Coast Titans,28,Canberra,12,"G. Reynolds, C. Sutton",CBUS,"8,762",
2015,Round 24,Sun,Aug 23rd,4:00pm,Manly Warringah,16,Parramatta,20,"B. Cummins, A. Shortall",Brookvale,"11,018",
2015,Round 24,Mon,Aug 24th,7:00pm,Melbourne,6,Newcastle,20,"H. Perenara, C. James",AAMI Park,"8,743",
2015,Round 25,Thu,Aug 27th,7:45pm,South Sydney,12,Brisbane,47,"M. Cecchin, G. Morris",Allianz,"12,036",
2015,Round 25,Fri,Aug 28th,7:45pm,Manly Warringah,10,Sydney,46,"J. Maxwell, G. Atkins",Brookvale,"12,911",
2015,Round 25,Sat,Aug 29th,7:30pm,Melbourne,14,North Queensland,6,"B. Cummins, A. Shortall",AAMI Park,"15,214",
2015,Round 25,Sat,Aug 29th,5:30pm,Newcastle,18,Canterbury,20,"A. Devcich, C. James",Hunter,"23,604",
2015,Round 25,Sat,Aug 29th,3:00pm,Parramatta,28,Cronulla,35,"G. Sutton, G. Badger",Pirtek Stadium,"11,778",
2015,Round 25,Sun,Aug 30th,4:00pm,Gold Coast Titans,28,St George Illawarra,26,"A. Klein, G. Morris",CBUS,"12,335",
2015,Round 25,Sun,Aug 30th,2:00pm,Wests Tigers,50,Warriors,16,"G. Reynolds, C. Sutton",Campbelltown,"6,711",
2015,Round 25,Mon,Aug 31st,7:00pm,Canberra,34,Penrith,18,"H. Perenara, M. Noyen",GIO Stadium,"6,717",
2015,Round 26,Thu,Sep 3rd,7:45pm,Brisbane,8,Melbourne,15,"J. Maxwell, G. Atkins",Suncorp,"44,015",
2015,Round 26,Fri,Sep 4th,7:45pm,Sydney,30,South Sydney,0,"G. Sutton, G. Badger",Allianz,"25,019",
2015,Round 26,Sat,Sep 5th,7:30pm,North Queensland,42,Gold Coast Titans,12,"H. Perenara, C. Sutton",1300SMILES,"16,977",
2015,Round 26,Sat,Sep 5th,3:00pm,Penrith,30,Newcastle,12,"G. Reynolds, A. Gee",Pepper Stadium,"8,936",
2015,Round 26,Sat,Sep 5th,5:30pm,St George Illawarra,32,Wests Tigers,30,"M. Cecchin, G. Morris",ANZ,"17,685",
2015,Round 26,Sun,Sep 6th,6:30pm,Canterbury,26,Warriors,22,"A. Klein, G. Atkins",ANZ,"14,821",
2015,Round 26,Sun,Sep 6th,4:00pm,Cronulla,12,Manly Warringah,14,"B. Cummins, M. Noyen",Remondis Stadium,"19,146",
2015,Round 26,Sun,Sep 6th,2:00pm,Parramatta,24,Canberra,28,"G. Badger, C. James",Pirtek Stadium,"10,515",
2015,Qualif Final,Fri,Sep 11th,7:55pm,Sydney,18,Melbourne,20,"B. Cummins, A. Shortall",Allianz,"20,521",
2015,Qualif Final,Sat,Sep 12th,7:55pm,Brisbane,16,North Queensland,12,"G. Sutton, G. Badger",Suncorp,"50,388",
2015,Qualif Final,Sat,Sep 12th,5:50pm,Canterbury,11,St George Illawarra,10,"J. Maxwell, G. Morris",ANZ,"33,854",
2015,Qualif Final,Sun,Sep 13th,4:10pm,Cronulla,28,South Sydney,12,"M. Cecchin, A. Klein",Allianz,"27,031",
2015,Semi Final,Fri,Sep 18th,7:55pm,Sydney,38,Canterbury,12,"M. Cecchin, B. Cummins",Allianz,"35,711",
2015,Semi Final,Sat,Sep 19th,7:40pm,North Queensland,39,Cronulla,0,"G. Sutton, G. Badger",1300SMILES,"21,683",
2015,Prelim Final,Fri,Sep 25th,7:55pm,Brisbane,31,Sydney,12,"G. Sutton, G. Badger",Suncorp,"51,826",
2015,Prelim Final,Sat,Sep 26th,7:40pm,Melbourne,12,North Queensland,32,"M. Cecchin, B. Cummins",AAMI Park,"29,315",
2015,Grand Final,Sun,Oct 4th,7:15pm,Brisbane,16,North Queensland,17,"G. Sutton, B. Cummins",ANZ,"82,758",
2016,Round 1,Thu,Mar 3rd,8:05pm,Parramatta,4,Brisbane,17,"M. Cecchin, A. Shortall",Pirtek Stadium,"17,324",
2016,Round 1,Fri,Mar 4th,8:05pm,Manly Warringah,6,Canterbury,28,"G. Sutton, M. Noyen",Brookvale,"16,512",
2016,Round 1,Sat,Mar 5th,3:00pm,Canberra,30,Penrith,22,"G. Badger, D. Munro",GIO Stadium,"11,297",
2016,Round 1,Sat,Mar 5th,6:30pm,North Queensland,20,Cronulla,14,"B. Cummins, A. Devcich",1300SMILES,"15,519",
2016,Round 1,Sat,Mar 5th,5:30pm,Wests Tigers,34,Warriors,26,"A. Klein, C. Sutton",Campbelltown,"10,917",
2016,Round 1,Sun,Mar 6th,5:30pm,Gold Coast Titans,30,Newcastle,12,"H. Perenara, C. James",CBUS,"8,313",
2016,Round 1,Sun,Mar 6th,4:00pm,Sydney,10,South Sydney,42,"J. Maxwell, A. Gee",Allianz,"25,125",
2016,Round 1,Mon,Mar 7th,7:00pm,Melbourne,18,St George Illawarra,16,"G. Atkins, G. Reynolds",AAMI Park,"12,148",
2016,Round 2,Thu,Mar 10th,8:05pm,Penrith,16,Canterbury,18,"B. Cummins, A. Devcich",Pepper Stadium,"11,125",
2016,Round 2,Fri,Mar 11th,7:05pm,Brisbane,25,Warriors,10,"G. Sutton, M. Noyen",Suncorp,"34,520",
2016,Round 2,Sat,Mar 12th,3:00pm,Canberra,21,Sydney,20,"G. Atkins, G. Reynolds",GIO Stadium,"12,423",
2016,Round 2,Sat,Mar 12th,7:30pm,Parramatta,20,North Queensland,16,"J. Maxwell, A. Gee",Pirtek Stadium,"12,194",
2016,Round 2,Sat,Mar 12th,5:30pm,South Sydney,48,Newcastle,6,"G. Badger, D. Munro",ANZ,"13,364",
2016,Round 2,Sun,Mar 13th,4:00pm,Cronulla,30,St George Illawarra,2,"M. Cecchin, A. Shortall",Southern Cross,"17,946",
2016,Round 2,Sun,Mar 13th,6:30pm,Melbourne,34,Gold Coast Titans,16,"A. Klein, C. Sutton",AAMI Park,"12,637",
2016,Round 2,Mon,Mar 14th,7:00pm,Wests Tigers,36,Manly Warringah,22,"H. Perenara, C. James",Leichhardt,"11,269",
2016,Round 3,Thu,Mar 17th,8:05pm,North Queensland,40,Sydney,0,"G. Sutton, M. Noyen",1300SMILES,"8,099",
2016,Round 3,Fri,Mar 18th,8:05pm,Canterbury,6,Parramatta,20,"M. Cecchin, A. Shortall",ANZ,"30,018",
2016,Round 3,Sat,Mar 19th,8:30pm,Gold Coast Titans,30,Wests Tigers,18,"G. Badger, C. James",CBUS,"9,975",
2016,Round 3,Sat,Mar 19th,5:00pm,Newcastle,24,Canberra,24,"A. Klein, C. Sutton",Hunter,"13,745",
2016,Round 3,Sat,Mar 19th,7:30pm,Penrith,23,Brisbane,22,"G. Atkins, G. Reynolds",Pepper Stadium,"12,086",
2016,Round 3,Sun,Mar 20th,4:00pm,St George Illawarra,8,South Sydney,6,"J. Maxwell, A. Gee",SCG,"17,824",
2016,Round 3,Sun,Mar 20th,4:00pm,Warriors,14,Melbourne,21,"H. Perenara, D. Munro",Mt Smart,"16,214",
2016,Round 3,Mon,Mar 21st,7:00pm,Manly Warringah,22,Cronulla,12,"B. Cummins, A. Devcich",Brookvale,"5,122",
2016,Round 4,Fri,Mar 25th,8:05pm,Brisbane,21,North Queensland,20,"G. Sutton, M. Noyen",Suncorp,"46,176",
2016,Round 4,Fri,Mar 25th,4:00pm,South Sydney,12,Canterbury,42,"B. Cummins, A. Shortall",ANZ,"38,192",
2016,Round 4,Sat,Mar 26th,5:30pm,Canberra,20,Gold Coast Titans,24,"H. Perenara, C. Sutton",GIO Stadium,"11,039",
2016,Round 4,Sat,Mar 26th,7:30pm,Sydney,20,Manly Warringah,22,"G. Atkins, G. Reynolds",Allianz,"12,271",
2016,Round 4,Sun,Mar 27th,4:00pm,St George Illawarra,14,Penrith,12,"A. Klein, A. Gee",WIN Stadium,"12,983",
2016,Round 4,Mon,Mar 28th,7:00pm,Cronulla,14,Melbourne,6,"M. Cecchin, D. Munro",Southern Cross,"9,155",
2016,Round 4,Mon,Mar 28th,4:00pm,Warriors,40,Newcastle,18,"A. Devcich, C. James",Mt Smart,"13,895",
2016,Round 4,Mon,Mar 28th,4:00pm,Wests Tigers,0,Parramatta,8,"J. Maxwell, G. Badger",ANZ,"36,112",
2016,Round 5,Thu,Mar 31st,8:05pm,Manly Warringah,12,South Sydney,16,"G. Sutton, M. Noyen",Brookvale,"9,603",
2016,Round 5,Fri,Apr 1st,8:05pm,Gold Coast Titans,16,Brisbane,24,"J. Maxwell, G. Badger",CBUS,"21,080",
2016,Round 5,Sat,Apr 2nd,3:00pm,Melbourne,18,Newcastle,14,"H. Perenara, C. Sutton",AAMI Park,"11,443",
2016,Round 5,Sat,Apr 2nd,6:30pm,North Queensland,36,St George Illawarra,0,"B. Cummins, G. Reynolds",1300SMILES,"17,444",
2016,Round 5,Sat,Apr 2nd,5:30pm,Wests Tigers,26,Cronulla,34,"A. Devcich, C. James",Campbelltown,"12,831",
2016,Round 5,Sun,Apr 3rd,7:00pm,Canterbury,8,Canberra,22,"A. Klein, A. Gee",Belmore,"13,463",
2016,Round 5,Sun,Apr 3rd,4:00pm,Parramatta,18,Penrith,20,"G. Atkins, A. Shortall",Pirtek Stadium,"15,600",
2016,Round 5,Sun,Apr 3rd,2:00pm,Sydney,28,Warriors,32,"M. Cecchin, D. Munro",Central Coast,"10,113",
2016,Round 6,Thu,Apr 7th,7:50pm,Brisbane,26,St George Illawarra,0,"G. Sutton, D. Munro",Suncorp,"29,869",
2016,Round 6,Fri,Apr 8th,7:50pm,South Sydney,10,Sydney,17,"B. Cummins, H. Perenara",ANZ,"18,161",
2016,Round 6,Sat,Apr 9th,3:00pm,Parramatta,36,Canberra,6,"A. Devcich, C. James",Pirtek Stadium,"12,947",
2016,Round 6,Sat,Apr 9th,7:30pm,Penrith,18,North Queensland,23,"A. Klein, A. Gee",Pepper Stadium,"13,725",
2016,Round 6,Sat,Apr 9th,7:30pm,Warriors,18,Manly Warringah,34,"G. Reynolds, C. Sutton",Mt Smart,"16,112",
2016,Round 6,Sun,Apr 10th,2:00pm,Cronulla,25,Gold Coast Titans,20,"G. Atkins, A. Shortall",Southern Cross,"11,753",
2016,Round 6,Sun,Apr 10th,4:00pm,Newcastle,18,Wests Tigers,16,"G. Badger, C. Butler",Hunter,"21,653",
2016,Round 6,Mon,Apr 11th,7:00pm,Melbourne,12,Canterbury,18,"J. Maxwell, M. Noyen",AAMI Park,"11,037",
2016,Round 7,Thu,Apr 14th,7:50pm,Manly Warringah,10,Parramatta,22,"B. Cummins, A. Devcich",Brookvale,"14,633",
2016,Round 7,Fri,Apr 15th,7:50pm,North Queensland,44,South Sydney,18,"M. Cecchin, A. Shortall",1300SMILES,"15,487",
2016,Round 7,Sat,Apr 16th,7:30pm,Brisbane,53,Newcastle,0,"G. Reynolds, C. Sutton",Suncorp,"30,394",
2016,Round 7,Sat,Apr 16th,7:30pm,Canterbury,20,Warriors,24,"H. Perenara, D. Munro",Westpac,"18,212",
2016,Round 7,Sat,Apr 16th,3:00pm,Gold Coast Titans,14,St George Illawarra,19,"G. Badger, C. Butler",CBUS,"12,215",
2016,Round 7,Sun,Apr 17th,2:00pm,Canberra,16,Cronulla,40,"G. Sutton, P. Gough",GIO Stadium,"12,890",
2016,Round 7,Sun,Apr 17th,4:00pm,Wests Tigers,18,Melbourne,19,"A. Klein, A. Gee",Leichhardt,"9,216",
2016,Round 7,Mon,Apr 18th,7:00pm,Sydney,16,Penrith,20,"J. Maxwell, M. Noyen",Allianz,"10,117",
2016,Round 8,Fri,Apr 22nd,7:50pm,Brisbane,30,South Sydney,8,"J. Maxwell, A. Gee",Suncorp,"40,275",
2016,Round 8,Sat,Apr 23rd,5:30pm,Canberra,60,Wests Tigers,6,"H. Perenara, D. Munro",GIO Stadium,"13,420",
2016,Round 8,Sat,Apr 23rd,3:00pm,Canterbury,21,Gold Coast Titans,20,"A. Klein, C. James",ANZ,"11,450",
2016,Round 8,Sat,Apr 23rd,7:30pm,North Queensland,32,Parramatta,16,"G. Sutton, P. Gough",1300SMILES,"19,308",
2016,Round 8,Sun,Apr 24th,4:00pm,Cronulla,20,Penrith,18,"G. Atkins, A. Shortall",Southern Cross,"14,273",
2016,Round 8,Mon,Apr 25th,7:00pm,Melbourne,42,Warriors,0,"M. Cecchin, G. Reynolds",AAMI Park,"21,233",
2016,Round 8,Mon,Apr 25th,2:00pm,Newcastle,10,Manly Warringah,26,"G. Badger, C. Sutton",Hunter,"19,072",
2016,Round 8,Mon,Apr 25th,4:00pm,St George Illawarra,20,Sydney,18,"B. Cummins, A. Devcich",Allianz,"34,483",
2016,Round 9,Thu,Apr 28th,7:50pm,South Sydney,22,Wests Tigers,30,"A. Klein, M. Noyen",ANZ,"11,229",
2016,Round 9,Fri,Apr 29th,7:50pm,Parramatta,20,Canterbury,12,"J. Maxwell, A. Gee",Pirtek Stadium,"31,815",
2016,Round 9,Sat,Apr 30th,7:30pm,Manly Warringah,18,North Queensland,34,"B. Cummins, C. Sutton",Brookvale,"11,734",
2016,Round 9,Sat,Apr 30th,3:00pm,Penrith,19,Canberra,18,"G. Reynolds, A. Shortall",Carrington,"6,721",
2016,Round 9,Sat,Apr 30th,5:30pm,Sydney,38,Newcastle,0,"M. Cecchin, D. Munro",Allianz,"9,502",
2016,Round 9,Sun,May 1st,4:00pm,Cronulla,30,Brisbane,28,"G. Sutton, A. Devcich",Southern Cross,"14,408",
2016,Round 9,Sun,May 1st,2:00pm,Gold Coast Titans,0,Melbourne,38,"G. Atkins, C. James",CBUS,"10,124",
2016,Round 9,Sun,May 1st,2:00pm,Warriors,26,St George Illawarra,10,"G. Badger, C. Butler",Mt Smart,"12,752",
2016,Round 10,Thu,May 12th,7:50pm,St George Illawarra,16,Canberra,12,"A. Klein, A. Gee",WIN Jubilee,"9,647",
2016,Round 10,Fri,May 13th,7:50pm,Parramatta,20,South Sydney,22,"B. Cummins, C. Sutton",Pirtek Stadium,"16,013",
2016,Round 10,Sat,May 14th,7:55pm,Manly Warringah,6,Brisbane,30,"J. Maxwell, G. Reynolds",Suncorp,"52,347",
2016,Round 10,Sat,May 14th,5:30pm,Melbourne,15,North Queensland,14,"G. Sutton, A. Devcich",Suncorp,"52,347",
2016,Round 10,Sat,May 14th,5:00pm,Penrith,30,Warriors,18,"M. Cecchin, D. Munro",AMI Stadium,"18,000",
2016,Round 10,Sun,May 15th,2:00pm,Newcastle,0,Cronulla,62,"H. Perenara, M. Noyen",Hunter,"16,150",
2016,Round 10,Sun,May 15th,4:00pm,Wests Tigers,4,Canterbury,36,"G. Atkins, A. Shortall",ANZ,"20,936",
2016,Round 10,Mon,May 16th,7:00pm,Gold Coast Titans,26,Sydney,6,"G. Badger, C. James",CBUS,"9,363",
2016,Round 11,Thu,May 19th,7:50pm,South Sydney,34,St George Illawarra,24,"M. Cecchin, D. Munro",ANZ,"12,054",
2016,Round 11,Fri,May 20th,7:50pm,North Queensland,19,Brisbane,18,"B. Cummins, C. Sutton",1300SMILES,"25,163",
2016,Round 11,Sat,May 21st,7:30pm,Cronulla,20,Manly Warringah,12,"G. Badger, A. Shortall",Southern Cross,"16,601",
2016,Round 11,Sat,May 21st,7:30pm,Warriors,12,Canberra,38,"G. Atkins, M. Noyen",Yarrow Stadium,"12,833",
2016,Round 11,Sat,May 21st,3:00pm,Wests Tigers,20,Newcastle,12,"G. Sutton, A. Devcich",Campbelltown,"8,658",
2016,Round 11,Sun,May 22nd,4:00pm,Canterbury,32,Sydney,20,"J. Maxwell, G. Reynolds",ANZ,"17,704",
2016,Round 11,Sun,May 22nd,2:00pm,Penrith,24,Gold Coast Titans,28,"H. Perenara, C. James",Pepper Stadium,"11,210",
2016,Round 11,Mon,May 23rd,7:00pm,Parramatta,6,Melbourne,18,"A. Klein, A. Gee",Pirtek Stadium,"8,941",
2016,Round 12,Fri,May 27th,7:30pm,Brisbane,18,Wests Tigers,19,"M. Cecchin, G. Badger",Suncorp,"27,153",
2016,Round 12,Sat,May 28th,7:30pm,St George Illawarra,14,North Queensland,10,"G. Atkins, A. Shortall",WIN Stadium,"10,032",
2016,Round 12,Sun,May 29th,4:00pm,Canberra,32,Canterbury,20,"A. Klein, A. Gee",GIO Stadium,"13,907",
2016,Round 12,Mon,May 30th,7:30pm,Newcastle,18,Parramatta,20,"H. Perenara, G. Reynolds",Hunter,"12,856",
2016,Round 13,Fri,Jun 3rd,7:50pm,Canberra,30,Manly Warringah,18,"J. Maxwell, A. Gee",GIO Stadium,"9,157",
2016,Round 13,Sat,Jun 4th,7:30pm,Melbourne,24,Penrith,6,"M. Cecchin, C. Butler",AAMI Park,"11,116",
2016,Round 13,Sat,Jun 4th,5:30pm,North Queensland,46,Newcastle,16,"G. Badger, C. Sutton",1300SMILES,"14,651",
2016,Round 13,Sat,Jun 4th,5:00pm,Warriors,36,Brisbane,18,"H. Perenara, C. James",Mt Smart,"15,097",
2016,Round 13,Sun,Jun 5th,4:30pm,South Sydney,28,Gold Coast Titans,29,"G. Atkins, A. Shortall",nib Stadium,"13,142",
2016,Round 13,Sun,Jun 5th,4:00pm,Sydney,32,Wests Tigers,18,"A. Klein, G. Reynolds",Allianz,"3,622",
2016,Round 13,Mon,Jun 6th,7:00pm,Canterbury,18,Cronulla,20,"B. Cummins, M. Noyen",ANZ,"10,081",
2016,Round 14,Thu,Jun 9th,7:50pm,Brisbane,26,Canberra,18,"A. Klein, H. Perenara",Suncorp,"25,021",
2016,Round 14,Fri,Jun 10th,7:50pm,Wests Tigers,30,South Sydney,14,"M. Cecchin, M. Noyen",ANZ,"14,490",
2016,Round 14,Sat,Jun 11th,3:00pm,Newcastle,14,Warriors,50,"D. Munro, A. Shortall",Hunter,"12,222",
2016,Round 14,Sat,Jun 11th,5:00pm,Parramatta,22,Gold Coast Titans,12,"G. Badger, C. Butler",TIO Stadium,"7,722",
2016,Round 14,Sat,Jun 11th,7:30pm,Sydney,0,Melbourne,46,"B. Cummins, C. Sutton",Allianz,"8,499",
2016,Round 14,Sun,Jun 12th,4:00pm,Manly Warringah,24,Penrith,31,"G. Atkins, G. Reynolds",Brookvale,"12,463",
2016,Round 14,Mon,Jun 13th,7:00pm,Cronulla,13,North Queensland,10,"G. Sutton, A. Gee",Southern Cross,"13,119",
2016,Round 14,Mon,Jun 13th,4:00pm,St George Illawarra,16,Canterbury,34,"J. Maxwell, C. James",ANZ,"20,153",
2016,Round 15,Fri,Jun 17th,7:50pm,South Sydney,12,Parramatta,30,"A. Klein, G. Badger",ANZ,"11,860",
2016,Round 15,Sat,Jun 18th,7:30pm,St George Illawarra,20,Melbourne,10,"M. Cecchin, G. Atkins",WIN Stadium,"7,568",
2016,Round 15,Sun,Jun 19th,6:00pm,Warriors,12,Sydney,10,"J. Maxwell, C. James",Mt Smart,"14,026",
2016,Round 15,Mon,Jun 20th,7:00pm,Gold Coast Titans,30,Manly Warringah,10,"H. Perenara, A. Shortall",CBUS,"8,278",
2016,Round 16,Fri,Jun 24th,7:50pm,Penrith,28,South Sydney,26,"G. Badger, C. Sutton",Pepper Stadium,"13,080",
2016,Round 16,Sat,Jun 25th,7:30pm,Canterbury,40,Brisbane,14,"A. Klein, H. Perenara",ANZ,"15,106",
2016,Round 16,Sat,Jun 25th,5:30pm,Cronulla,19,Warriors,18,"G. Atkins, M. Noyen",Southern Cross,"12,074",
2016,Round 16,Sat,Jun 25th,3:00pm,Newcastle,18,St George Illawarra,30,"D. Munro, G. Reynolds",Hunter,"13,777",
2016,Round 16,Sun,Jun 26th,2:00pm,Gold Coast Titans,22,Canberra,30,"G. Sutton, C. James",CBUS,"12,645",
2016,Round 16,Sun,Jun 26th,4:00pm,Melbourne,29,Wests Tigers,20,"J. Maxwell, A. Gee",AAMI Park,"14,412",
2016,Round 16,Mon,Jun 27th,7:00pm,North Queensland,30,Manly Warringah,26,"M. Cecchin, C. Butler",1300SMILES,"15,854",
2016,Round 17,Thu,Jun 30th,7:50pm,Sydney,20,Canterbury,24,"G. Atkins, A. Shortall",Allianz,"7,741",
2016,Round 17,Fri,Jul 1st,7:50pm,Brisbane,6,Melbourne,48,"B. Cummins, M. Noyen",Suncorp,"44,519",
2016,Round 17,Sat,Jul 2nd,7:30pm,Cronulla,34,Parramatta,24,"A. Klein, A. Gee",Southern Cross,"19,142",
2016,Round 17,Sat,Jul 2nd,5:00pm,Warriors,27,Gold Coast Titans,18,"M. Cecchin, C. James",Mt Smart,"15,107",
2016,Round 17,Sat,Jul 2nd,5:30pm,Wests Tigers,34,Penrith,26,"D. Munro, G. Reynolds",ANZ,"10,582",
2016,Round 17,Sun,Jul 3rd,2:00pm,Canberra,29,Newcastle,25,"J. Maxwell, C. Sutton",GIO Stadium,"9,731",
2016,Round 17,Sun,Jul 3rd,4:00pm,South Sydney,0,North Queensland,20,"G. Sutton, P. Gough",Barlow Park,"14,923",
2016,Round 17,Mon,Jul 4th,7:00pm,Manly Warringah,36,St George Illawarra,6,"G. Badger, H. Perenara",Brookvale,"9,048",
2016,Round 18,Fri,Jul 8th,7:50pm,Parramatta,22,Sydney,18,"M. Cecchin, G. Badger",Pirtek Stadium,"8,464",
2016,Round 18,Sat,Jul 9th,7:30pm,Canterbury,32,Wests Tigers,22,"A. Klein, C. James",ANZ,"16,212",
2016,Round 18,Sun,Jul 10th,4:00pm,Penrith,10,Cronulla,26,"J. Maxwell, H. Perenara",Pepper Stadium,"12,682",
2016,Round 18,Mon,Jul 11th,7:00pm,Canberra,26,North Queensland,12,"G. Atkins, A. Shortall",GIO Stadium,"8,328",
2016,Round 19,Fri,Jul 15th,7:50pm,St George Illawarra,12,Gold Coast Titans,32,"M. Cecchin, M. Noyen",WIN Jubilee,"8,256",
2016,Round 19,Sat,Jul 16th,3:30pm,Manly Warringah,15,Warriors,14,"G. Badger, C. James",nib Stadium,"11,109",
2016,Round 19,Sat,Jul 16th,7:30pm,South Sydney,10,Brisbane,30,"J. Maxwell, A. Gee",ANZ,"13,111",
2016,Round 19,Sun,Jul 17th,2:00pm,Newcastle,16,Melbourne,20,"H. Perenara, G. Reynolds",Hunter,"10,748",
2016,Round 19,Sun,Jul 17th,4:00pm,Penrith,22,Parramatta,18,"B. Cummins, A. Shortall",Pepper Stadium,"15,251",
2016,Round 19,Mon,Jul 18th,7:00pm,Sydney,20,Cronulla,32,"A. Klein, D. Munro",Allianz,"9,276",
