Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,date_time,HomeWin,SOO,Home_w_percent,Away_w_percent,Period
2008,Round 19,Sun,Jul-20,3:00pm,South Sydney,12,Wests Tigers,36,J. Robinson,ANZ,21818,2008-07-20 15:00:00,0.0,False,0.375,0.4375,Post
2008,Round 19,Mon,Jul-21,7:00pm,Melbourne,26,St George Illawarra,0,G. Badger,Olympic Park,9335,2008-07-21 19:00:00,1.0,False,0.6875,0.5625,Post
2008,Round 20,Fri,Jul-25,7:35pm,Brisbane,18,Cronulla,12,S. Hayne,Suncorp,27905,2008-07-25 19:35:00,1.0,False,0.5588235294117647,0.7058823529411765,Post
2008,Round 20,Fri,Jul-25,7:35pm,Parramatta,16,North Queensland,4,S. Lyons,Parramatta,7253,2008-07-25 19:35:00,1.0,False,0.4117647058823529,0.17647058823529413,Post
2008,Round 20,Sat,Jul-26,5:30pm,Canberra,46,Gold Coast Titans,4,T. De Las Heras,Canberra Stadium,8700,2008-07-26 17:30:00,1.0,False,0.47058823529411764,0.5294117647058824,Post
2008,Round 20,Sat,Jul-26,7:30pm,Penrith,24,Wests Tigers,10,T. Archer,CUA Stadium,14075,2008-07-26 19:30:00,1.0,False,0.5,0.47058823529411764,Post
2008,Round 20,Sun,Jul-27,2:00pm,Newcastle,39,South Sydney,12,B. Cummins,EnergyAustralia,23182,2008-07-27 14:00:00,1.0,False,0.4117647058823529,0.35294117647058826,Post
2008,Round 20,Sun,Jul-27,3:00pm,Sydney,34,Manly Warringah,12,J. Robinson,SFS,22681,2008-07-27 15:00:00,1.0,False,0.6470588235294118,0.7647058823529411,Post
2008,Round 20,Sun,Jul-27,2:00pm,Warriors,8,Melbourne,6,J. Maxwell,Mt Smart,8700,2008-07-27 14:00:00,1.0,False,0.47058823529411764,0.7058823529411765,Post
2008,Round 20,Mon,Jul-28,7:00pm,St George Illawarra,30,Bulldogs,0,S. Hampstead,ANZ,7802,2008-07-28 19:00:00,1.0,False,0.5294117647058824,0.29411764705882354,Post
2008,Round 21,Fri,Aug-1,7:35pm,Manly Warringah,30,Penrith,10,S. Hayne,Brookvale,7862,2008-08-01 19:35:00,1.0,False,0.7222222222222222,0.5277777777777778,Post
